threshold:5 | accuracy:0.14934 | precision:0.08874 | recall:0.09755 | f1:0.09036 
threshold:6 | accuracy:0.14935 | precision:0.08959 | recall:0.09673 | f1:0.09047 
threshold:7 | accuracy:0.14935 | precision:0.09034 | recall:0.09600 | f1:0.09055 
threshold:8 | accuracy:0.14936 | precision:0.09113 | recall:0.09525 | f1:0.09064 
threshold:9 | accuracy:0.14937 | precision:0.09199 | recall:0.09451 | f1:0.09075 
threshold:1 | accuracy:0.15755 | precision:0.08559 | recall:0.10905 | f1:0.09311 
threshold:2 | accuracy:0.15759 | precision:0.08852 | recall:0.10613 | f1:0.09380 
threshold:3 | accuracy:0.15760 | precision:0.09012 | recall:0.10450 | f1:0.09410 
threshold:4 | accuracy:0.15762 | precision:0.09132 | recall:0.10329 | f1:0.09429 
threshold:5 | accuracy:0.15763 | precision:0.09227 | recall:0.10232 | f1:0.09441 
threshold:6 | accuracy:0.15763 | precision:0.09315 | recall:0.10145 | f1:0.09452 
threshold:7 | accuracy:0.15764 | precision:0.09393 | recall:0.10067 | f1:0.09461 
threshold:8 | accuracy:0.15765 | precision:0.09476 | recall:0.09988 | f1:0.09470 
threshold:9 | accuracy:0.15765 | precision:0.09565 | recall:0.09909 | f1:0.09482 
threshold:1 | accuracy:0.16585 | precision:0.08896 | recall:0.11143 | f1:0.09590 
threshold:2 | accuracy:0.16589 | precision:0.09201 | recall:0.10846 | f1:0.09660 
threshold:3 | accuracy:0.16590 | precision:0.09366 | recall:0.10682 | f1:0.09690 
threshold:4 | accuracy:0.16592 | precision:0.09491 | recall:0.10558 | f1:0.09709 
threshold:5 | accuracy:0.16593 | precision:0.09590 | recall:0.10460 | f1:0.09721 
threshold:6 | accuracy:0.16593 | precision:0.09682 | recall:0.10371 | f1:0.09733 
threshold:7 | accuracy:0.16594 | precision:0.09764 | recall:0.10292 | f1:0.09741 
threshold:8 | accuracy:0.16595 | precision:0.09851 | recall:0.10211 | f1:0.09750 
threshold:9 | accuracy:0.16595 | precision:0.09946 | recall:0.10129 | f1:0.09761 
threshold:1 | accuracy:0.17417 | precision:0.09423 | recall:0.11778 | f1:0.10166 
threshold:2 | accuracy:0.17421 | precision:0.09751 | recall:0.11465 | f1:0.10243 
threshold:3 | accuracy:0.17423 | precision:0.09929 | recall:0.11292 | f1:0.10275 
threshold:4 | accuracy:0.17424 | precision:0.10064 | recall:0.11161 | f1:0.10296 
threshold:5 | accuracy:0.17425 | precision:0.10170 | recall:0.11058 | f1:0.10310 
threshold:6 | accuracy:0.17426 | precision:0.10269 | recall:0.10964 | f1:0.10322 
threshold:7 | accuracy:0.17426 | precision:0.10356 | recall:0.10880 | f1:0.10331 
threshold:8 | accuracy:0.17427 | precision:0.10449 | recall:0.10795 | f1:0.10340 
threshold:9 | accuracy:0.17428 | precision:0.10550 | recall:0.10709 | f1:0.10352 
threshold:1 | accuracy:0.18250 | precision:0.10034 | recall:0.12444 | f1:0.10803 
threshold:2 | accuracy:0.18254 | precision:0.10380 | recall:0.12121 | f1:0.10885 
threshold:3 | accuracy:0.18256 | precision:0.10567 | recall:0.11941 | f1:0.10919 
threshold:4 | accuracy:0.18257 | precision:0.10709 | recall:0.11806 | f1:0.10941 
threshold:5 | accuracy:0.18258 | precision:0.10820 | recall:0.11698 | f1:0.10955 
threshold:6 | accuracy:0.18259 | precision:0.10924 | recall:0.11601 | f1:0.10968 
threshold:7 | accuracy:0.18259 | precision:0.11015 | recall:0.11514 | f1:0.10978 
threshold:8 | accuracy:0.18260 | precision:0.11113 | recall:0.11426 | f1:0.10988 
threshold:9 | accuracy:0.18261 | precision:0.11219 | recall:0.11337 | f1:0.11001 
threshold:1 | accuracy:0.19083 | precision:0.10683 | recall:0.13178 | f1:0.11492 
threshold:2 | accuracy:0.19086 | precision:0.11045 | recall:0.12843 | f1:0.11577 
threshold:3 | accuracy:0.19088 | precision:0.11241 | recall:0.12657 | f1:0.11613 
threshold:4 | accuracy:0.19089 | precision:0.11388 | recall:0.12518 | f1:0.11636 
threshold:5 | accuracy:0.19090 | precision:0.11504 | recall:0.12407 | f1:0.11651 
threshold:6 | accuracy:0.19091 | precision:0.11611 | recall:0.12306 | f1:0.11664 
threshold:7 | accuracy:0.19092 | precision:0.11707 | recall:0.12216 | f1:0.11674 
threshold:8 | accuracy:0.19093 | precision:0.11809 | recall:0.12126 | f1:0.11685 
threshold:9 | accuracy:0.19093 | precision:0.11919 | recall:0.12034 | f1:0.11699 
threshold:1 | accuracy:0.19916 | precision:0.11192 | recall:0.13972 | f1:0.12112 
threshold:2 | accuracy:0.19919 | precision:0.11578 | recall:0.13630 | f1:0.12212 
threshold:3 | accuracy:0.19921 | precision:0.11786 | recall:0.13439 | f1:0.12255 
threshold:4 | accuracy:0.19923 | precision:0.11942 | recall:0.13295 | f1:0.12283 
threshold:5 | accuracy:0.19924 | precision:0.12065 | recall:0.13180 | f1:0.12301 
threshold:6 | accuracy:0.19924 | precision:0.12179 | recall:0.13077 | f1:0.12318 
threshold:7 | accuracy:0.19925 | precision:0.12282 | recall:0.12984 | f1:0.12332 
threshold:8 | accuracy:0.19926 | precision:0.12391 | recall:0.12890 | f1:0.12347 
threshold:9 | accuracy:0.19927 | precision:0.12509 | recall:0.12796 | f1:0.12364 
threshold:1 | accuracy:0.20746 | precision:0.11746 | recall:0.14529 | f1:0.12668 
threshold:2 | accuracy:0.20750 | precision:0.12150 | recall:0.14169 | f1:0.12768 
threshold:3 | accuracy:0.20752 | precision:0.12369 | recall:0.13968 | f1:0.12810 
threshold:4 | accuracy:0.20753 | precision:0.12533 | recall:0.13816 | f1:0.12837 
threshold:5 | accuracy:0.20754 | precision:0.12661 | recall:0.13695 | f1:0.12854 
threshold:6 | accuracy:0.20755 | precision:0.12781 | recall:0.13586 | f1:0.12870 
threshold:7 | accuracy:0.20756 | precision:0.12889 | recall:0.13489 | f1:0.12883 
threshold:8 | accuracy:0.20757 | precision:0.13003 | recall:0.13390 | f1:0.12897 
threshold:9 | accuracy:0.20757 | precision:0.13127 | recall:0.13291 | f1:0.12914 
threshold:1 | accuracy:0.21565 | precision:0.12500 | recall:0.14830 | f1:0.13098 
threshold:2 | accuracy:0.21569 | precision:0.12912 | recall:0.14464 | f1:0.13193 
threshold:3 | accuracy:0.21571 | precision:0.13134 | recall:0.14260 | f1:0.13233 
threshold:4 | accuracy:0.21572 | precision:0.13301 | recall:0.14106 | f1:0.13257 
threshold:5 | accuracy:0.21573 | precision:0.13432 | recall:0.13982 | f1:0.13273 
threshold:6 | accuracy:0.21574 | precision:0.13555 | recall:0.13871 | f1:0.13286 
threshold:7 | accuracy:0.21575 | precision:0.13664 | recall:0.13771 | f1:0.13297 
threshold:8 | accuracy:0.21576 | precision:0.13781 | recall:0.13671 | f1:0.13309 
threshold:9 | accuracy:0.21576 | precision:0.13908 | recall:0.13569 | f1:0.13324 
threshold:1 | accuracy:0.22394 | precision:0.13047 | recall:0.15216 | f1:0.13551 
threshold:2 | accuracy:0.22398 | precision:0.13469 | recall:0.14828 | f1:0.13634 
threshold:3 | accuracy:0.22400 | precision:0.13698 | recall:0.14613 | f1:0.13667 
threshold:4 | accuracy:0.22401 | precision:0.13871 | recall:0.14450 | f1:0.13686 
threshold:5 | accuracy:0.22402 | precision:0.14005 | recall:0.14319 | f1:0.13697 
threshold:6 | accuracy:0.22403 | precision:0.14131 | recall:0.14202 | f1:0.13707 
threshold:7 | accuracy:0.22404 | precision:0.14244 | recall:0.14098 | f1:0.13715 
threshold:8 | accuracy:0.22405 | precision:0.14364 | recall:0.13993 | f1:0.13724 
threshold:9 | accuracy:0.22405 | precision:0.14494 | recall:0.13887 | f1:0.13736 
threshold:1 | accuracy:0.23225 | precision:0.13250 | recall:0.15477 | f1:0.13779 
threshold:2 | accuracy:0.23229 | precision:0.13678 | recall:0.15083 | f1:0.13863 
threshold:3 | accuracy:0.23231 | precision:0.13910 | recall:0.14863 | f1:0.13896 
threshold:4 | accuracy:0.23232 | precision:0.14084 | recall:0.14696 | f1:0.13915 
threshold:5 | accuracy:0.23233 | precision:0.14222 | recall:0.14564 | f1:0.13927 
threshold:6 | accuracy:0.23234 | precision:0.14349 | recall:0.14445 | f1:0.13937 
threshold:7 | accuracy:0.23235 | precision:0.14464 | recall:0.14338 | f1:0.13945 
threshold:8 | accuracy:0.23235 | precision:0.14587 | recall:0.14230 | f1:0.13954 
threshold:9 | accuracy:0.23236 | precision:0.14721 | recall:0.14121 | f1:0.13966 
threshold:1 | accuracy:0.24057 | precision:0.13924 | recall:0.16306 | f1:0.14523 
threshold:2 | accuracy:0.24061 | precision:0.14375 | recall:0.15910 | f1:0.14619 
threshold:3 | accuracy:0.24063 | precision:0.14619 | recall:0.15689 | f1:0.14659 
threshold:4 | accuracy:0.24064 | precision:0.14802 | recall:0.15521 | f1:0.14683 
threshold:5 | accuracy:0.24065 | precision:0.14946 | recall:0.15386 | f1:0.14697 
threshold:6 | accuracy:0.24066 | precision:0.15077 | recall:0.15267 | f1:0.14709 
threshold:7 | accuracy:0.24067 | precision:0.15197 | recall:0.15159 | f1:0.14719 
threshold:8 | accuracy:0.24068 | precision:0.15323 | recall:0.15050 | f1:0.14730 
threshold:9 | accuracy:0.24068 | precision:0.15460 | recall:0.14941 | f1:0.14744 
threshold:1 | accuracy:0.24885 | precision:0.14527 | recall:0.16989 | f1:0.15163 
threshold:2 | accuracy:0.24889 | precision:0.14995 | recall:0.16576 | f1:0.15261 
threshold:3 | accuracy:0.24891 | precision:0.15248 | recall:0.16346 | f1:0.15302 
threshold:4 | accuracy:0.24893 | precision:0.15439 | recall:0.16171 | f1:0.15326 
threshold:5 | accuracy:0.24894 | precision:0.15588 | recall:0.16033 | f1:0.15341 
threshold:6 | accuracy:0.24895 | precision:0.15725 | recall:0.15908 | f1:0.15354 
threshold:7 | accuracy:0.24895 | precision:0.15849 | recall:0.15796 | f1:0.15364 
threshold:8 | accuracy:0.24896 | precision:0.15980 | recall:0.15684 | f1:0.15375 
threshold:9 | accuracy:0.24897 | precision:0.16123 | recall:0.15568 | f1:0.15388 
threshold:1 | accuracy:0.25717 | precision:0.14873 | recall:0.17327 | f1:0.15505 
threshold:2 | accuracy:0.25721 | precision:0.15347 | recall:0.16900 | f1:0.15599 
threshold:3 | accuracy:0.25724 | precision:0.15604 | recall:0.16662 | f1:0.15637 
threshold:4 | accuracy:0.25725 | precision:0.15797 | recall:0.16482 | f1:0.15659 
threshold:5 | accuracy:0.25726 | precision:0.15949 | recall:0.16339 | f1:0.15673 
threshold:6 | accuracy:0.25727 | precision:0.16087 | recall:0.16211 | f1:0.15684 
threshold:7 | accuracy:0.25728 | precision:0.16213 | recall:0.16095 | f1:0.15692 
threshold:8 | accuracy:0.25729 | precision:0.16346 | recall:0.15979 | f1:0.15702 
threshold:9 | accuracy:0.25730 | precision:0.16490 | recall:0.15859 | f1:0.15713 
threshold:1 | accuracy:0.26549 | precision:0.15347 | recall:0.17388 | f1:0.15613 
threshold:2 | accuracy:0.26554 | precision:0.15840 | recall:0.16957 | f1:0.15703 
threshold:3 | accuracy:0.26556 | precision:0.16107 | recall:0.16719 | f1:0.15738 
threshold:4 | accuracy:0.26557 | precision:0.16308 | recall:0.16538 | f1:0.15760 
threshold:5 | accuracy:0.26559 | precision:0.16465 | recall:0.16394 | f1:0.15771 
threshold:6 | accuracy:0.26559 | precision:0.16604 | recall:0.16264 | f1:0.15781 
threshold:7 | accuracy:0.26560 | precision:0.16734 | recall:0.16148 | f1:0.15788 
threshold:8 | accuracy:0.26561 | precision:0.16873 | recall:0.16031 | f1:0.15797 
threshold:9 | accuracy:0.26562 | precision:0.17018 | recall:0.15911 | f1:0.15806 
threshold:1 | accuracy:0.27376 | precision:0.15986 | recall:0.18102 | f1:0.16288 
threshold:2 | accuracy:0.27380 | precision:0.16493 | recall:0.17660 | f1:0.16380 
threshold:3 | accuracy:0.27382 | precision:0.16768 | recall:0.17415 | f1:0.16416 
threshold:4 | accuracy:0.27384 | precision:0.16974 | recall:0.17228 | f1:0.16438 
threshold:5 | accuracy:0.27385 | precision:0.17135 | recall:0.17080 | f1:0.16449 
threshold:6 | accuracy:0.27386 | precision:0.17279 | recall:0.16947 | f1:0.16459 
threshold:7 | accuracy:0.27387 | precision:0.17412 | recall:0.16828 | f1:0.16467 
threshold:8 | accuracy:0.27388 | precision:0.17554 | recall:0.16707 | f1:0.16475 
threshold:9 | accuracy:0.27389 | precision:0.17704 | recall:0.16583 | f1:0.16486 
threshold:1 | accuracy:0.28204 | precision:0.16601 | recall:0.18598 | f1:0.16837 
threshold:2 | accuracy:0.28208 | precision:0.17121 | recall:0.18130 | f1:0.16917 
threshold:3 | accuracy:0.28211 | precision:0.17405 | recall:0.17871 | f1:0.16948 
threshold:4 | accuracy:0.28212 | precision:0.17617 | recall:0.17675 | f1:0.16965 
threshold:5 | accuracy:0.28213 | precision:0.17782 | recall:0.17521 | f1:0.16973 
threshold:6 | accuracy:0.28214 | precision:0.17930 | recall:0.17381 | f1:0.16979 
threshold:7 | accuracy:0.28215 | precision:0.18067 | recall:0.17257 | f1:0.16985 
threshold:8 | accuracy:0.28216 | precision:0.18212 | recall:0.17132 | f1:0.16992 
threshold:9 | accuracy:0.28217 | precision:0.18365 | recall:0.17004 | f1:0.17000 
